Colonia,Construcción,Terreno,Ant,Recamaras,Baños,Estacionamiento,Precio
0.48,206.6,160,10,3,2,2,"4,700,000"
0.45,648,900,20,5,5,4,"15,000,000"
0.65,96,126,10,2,1,2,"1,500,000"
0.06,220,160,5,2,2,1,"3,000,000"
0.84,211,134.6,7,3,3,1,"3,000,000"
0.33,226,121.6,5,4,2,2,"3,800,000"
0.88,162.7,157.5,15,3,2,2,"4,000,000"
0.82,84,133,20,2,1,2,"950,000"
0.88,133,137,15,3,2,1,"3,200,000"
0.58,101,107.2,10,2,1,1,"1,300,000"
0.37,205,184,25,3,2,1,"3,200,000"
0.08,132.3,154,20,3,3,0,"1,300,000"
0.25,65,126,7,2,2,2,"1,450,000"
0.54,115.37,134.3,7,2,1,1,"1,720,000"
0.66,96,144,12,3,2,1,"2,400,000"
0.83,125,142,7,3,3,2,"2,800,000"
0.44,217.39,165.2,25,3,3,1,"2,700,000"
0.28,214,140,15,4,3,2,"3,000,000"
0.42,467.5,960,25,5,6,2,"15,000,000"
0.22,65,122.85,15,2,1,1,"1,480,000"
0.52,135,144,25,2,1,1,"2,400,000"
0.31,265,126,20,4,4,1,"3,500,000"
0.81,181.71,356.48,10,3,3,1,"4,100,000"
0.36,177,174,20,4,4,1,"1,700,000"
0.07,252,140,10,4,5,2,"3,150,000"
0.8,210,192.57,5,3,3,2,"6,640,000"
0.08,180.24,110.9,30,3,2,2,"2,600,000"
0.05,120.38,90,30,3,2,1,"1,450,000"
0.3,62,133,15,2,1,1,"1,600,000"
0.4,232.65,160,25,3,3,2,"4,000,000"
0.24,236,160,15,3,4,2,"2,500,000"
0.29,47,90,10,2,1,1,"940,000"
0.66,169.89,151.81,15,3,3,1,"3,400,000"
0.68,185,144.8,10,4,2,1,"1,450,000"
0.16,206,216,30,3,2,1,"1,300,000"
0.39,343.34,596.3,30,4,2.5,2,"8,500,000"
0.9,392.88,600,35,3,4,4,"4,800,000"
0.18,204.22,102.12,25,3,2,2,"1,380,000"
0.9,401.74,365.52,25,4,5,2,"6,950,000"
0.17,133,140,20,3,3,2,"3,019,000"
0.17,121,140,18,3,3,1,"2,320,000"
0.78,573.49,470,30,4,6,4,"14,250,000"
0.9,548.22,543.75,25,4,7,4,"9,500,000"
0.45,365.83,455,25,4,6,3,"5,100,000"
0.12,327.36,200,25,4,2,1,"1,550,000"
0.37,268.36,164,20,4,3,3,"4,500,000"
0.9,349.52,390,25,3,4,2,"4,800,000"
0.46,233.62,139.4,31,3,3,2,"3,500,000"
0.76,323.8,384,15,4,6,4,"5,950,000"
0.79,275,162,8,3,5,2,"6,950,000"
0.46,468.55,367.8,20,4,5,2,"8,650,000"
0.31,53.07,126,20,2,1,2,"1,170,000"
0.11,344.4,745.6,20,4,4,2,"6,500,000"
0.57,165,123,15,3,3,1,"3,450,000"
0.85,133,280,15,3,2,1,"2,300,000"
0.04,401,419,30,4,5,1,"6,500,000"
